scenario_name,feature_set,model_name,symbol,accuracy,f1,roc_auc,prediction_positive_ratio,test_rows
pooled_numeric_only_logistic_regression,numeric_only,logistic_regression,0700.HK,0.4932,0.4478,0.4854,0.4589,146
pooled_numeric_only_logistic_regression,numeric_only,logistic_regression,BABA,0.5306,0.5868,0.578,0.6531,147
pooled_numeric_only_logistic_regression,numeric_only,logistic_regression,BIDU,0.517,0.5644,0.5275,0.6395,147
pooled_numeric_only_logistic_regression,numeric_only,logistic_regression,GOOGL,0.415,0.4881,0.4582,0.7075,147
pooled_numeric_only_logistic_regression,numeric_only,logistic_regression,MSFT,0.4626,0.4768,0.4545,0.5782,147
pooled_numeric_only_logistic_regression,numeric_only,logistic_regression,NVDA,0.4626,0.5587,0.4078,0.7211,147
pooled_numeric_only_xgboost,numeric_only,xgboost,0700.HK,0.3973,0.45,0.4653,0.637,146
pooled_numeric_only_xgboost,numeric_only,xgboost,BABA,0.5034,0.4966,0.5191,0.5034,147
pooled_numeric_only_xgboost,numeric_only,xgboost,BIDU,0.585,0.5547,0.589,0.4626,147
pooled_numeric_only_xgboost,numeric_only,xgboost,GOOGL,0.4558,0.5122,0.4319,0.6803,147
pooled_numeric_only_xgboost,numeric_only,xgboost,MSFT,0.4354,0.443,0.439,0.5646,147
pooled_numeric_only_xgboost,numeric_only,xgboost,NVDA,0.483,0.573,0.4709,0.7143,147
